ax,ay,az,gx,gy,gz,mav,rms
10.14,3.65,-2.01,-1.03,-0.7,-2.37,897.19,1253.64
7.23,4.59,-2.7,-1.57,0.38,-2.68,1485.07,1845.76
4.92,5.46,-0.32,-1.91,-1.07,-2.61,1167.55,1401.36
2.47,7.32,2.53,-1.58,-0.14,-2.39,959.45,1159.93
-0.17,7.19,4.07,-0.96,0.27,-2.02,1438.76,1646.94
-1.17,7.72,3.96,-0.63,0.14,-1.3,1255.6,1480.58
-1.7,8.52,4.56,-0.31,-0.08,-0.4,1365.62,1545.72
-1.91,8.83,4.27,-0.08,0.15,0.07,1257.51,1412.19
-1.45,8.42,4.17,0.11,0.13,0.47,1387.81,1539.32
-0.83,7.95,3.9,0.53,0.54,1.01,1136.21,1283.56
-0.82,8.56,3.72,1.2,0.52,2.1,1033.97,1135.07
2.52,7.69,2.26,1.52,0.45,2.57,1039.71,1157.87
5.07,6.13,0.44,1.71,0.16,2.79,1129.89,1331.9
8.09,5.01,-1.71,1.36,0.51,2.72,1098.69,1248.55
10.52,3.21,-2.63,0.75,0.44,2.22,921.6,1026.16
11.26,2.25,-1.92,0.37,0.04,1.73,807.36,869.0
13.58,1.15,-2.24,-0.01,0.08,0.62,567.83,646.05
11.04,1.31,-1.43,-0.06,0.17,-0.14,449.5,491.84
9.59,1.52,-1.48,-0.06,-0.04,0.03,363.69,400.07
10.0,1.45,-1.34,-0.13,0.12,0.06,330.48,453.88
10.11,1.47,-1.14,-0.11,0.09,-0.02,232.84,268.39
9.91,1.47,-1.07,-0.1,0.11,0.01,241.87,286.63
10.25,1.51,-1.19,-0.06,0.07,0.0,227.56,283.21
10.96,1.46,-0.85,-0.14,-0.03,-0.12,490.12,636.49
13.57,1.67,-1.82,-0.24,-0.18,-1.12,377.12,497.64
11.88,2.96,-2.07,-0.7,-0.01,-2.29,436.79,620.92
9.01,4.04,-2.62,-1.54,-0.11,-2.92,1156.61,1586.83
5.4,5.52,0.16,-1.63,-0.59,-3.01,1228.55,1543.93
0.5,6.9,2.66,-1.01,-0.07,-2.52,1093.49,1335.75
-1.04,6.99,3.02,-1.34,-0.5,-2.39,991.21,1210.34
-2.42,7.51,4.09,-0.88,-0.29,-1.29,1361.66,1628.13
-2.61,7.89,4.87,-0.48,-0.11,-0.5,1386.63,1579.48
-1.9,9.13,4.17,-0.17,0.05,-0.08,1274.22,1424.76
-2.39,8.52,4.58,-0.02,-0.17,0.27,1150.71,1313.74
-2.67,7.63,4.98,0.45,0.26,1.01,1070.33,1222.74
-2.55,7.66,4.6,1.04,0.6,1.96,1072.96,1241.29
2.22,8.1,1.53,1.46,0.43,2.75,944.25,1059.48
4.59,7.0,0.62,1.3,0.14,2.87,787.67,891.91
7.31,5.58,-0.22,1.18,0.87,2.87,890.38,1053.6
10.72,3.01,-1.11,0.8,0.55,2.27,704.16,849.24
11.21,2.43,-1.09,0.4,0.14,1.39,620.98,682.72
10.82,2.34,-1.42,0.26,0.33,0.65,499.63,572.17
11.06,2.16,-0.92,-0.03,-0.25,0.34,410.46,454.16
10.04,1.86,-0.66,-0.05,0.04,0.02,448.35,624.87
9.81,1.94,-0.63,-0.12,0.19,0.01,373.92,510.07
9.85,1.93,-0.47,-0.1,0.06,0.07,226.21,262.84
10.3,1.89,-0.92,-0.1,0.03,0.04,269.67,357.44
10.11,1.97,-0.77,-0.13,0.06,-0.03,285.17,422.53
10.29,1.94,-0.41,-0.12,-0.04,-0.03,524.84,853.23
12.72,2.08,-1.5,-0.19,-0.11,-0.71,798.53,1246.2
12.67,2.65,-1.85,-0.71,0.15,-2.03,584.18,799.35
9.05,4.3,-1.3,-1.18,-0.32,-2.52,764.77,1041.93
6.56,5.77,-0.83,-1.33,-0.23,-2.65,1329.04,1625.2
6.56,5.77,-0.83,-1.33,-0.23,-2.65,1187.72,1430.53
3.51,6.2,1.32,-1.37,-0.5,-2.59,880.28,1040.82
0.24,7.36,2.67,-1.0,-0.7,-2.01,1174.52,1434.17
0.01,9.26,2.51,-1.11,-0.2,-1.82,1329.43,1530.26
-2.07,7.75,4.57,-0.83,-0.15,-1.37,1291.68,1532.35
-3.61,8.31,4.92,-0.33,-0.17,-0.38,1335.37,1506.94
-3.05,8.18,4.98,-0.22,0.26,-0.21,1255.33,1419.48
-2.31,8.34,4.47,-0.06,0.27,0.1,1305.74,1447.56
-1.91,7.93,4.22,-0.05,0.03,0.14,1231.82,1379.28
-2.86,7.67,4.69,0.41,0.4,0.79,1023.39,1171.38
-3.02,6.7,4.82,1.19,0.09,2.15,1035.7,1189.85
0.86,6.76,2.58,1.75,0.93,2.88,961.31,1094.65
4.3,6.62,0.72,1.69,0.68,3.17,840.63,933.66
8.89,6.46,-1.81,1.01,0.35,2.95,820.32,1000.52
11.58,4.13,-0.57,0.48,1.08,1.94,609.86,666.64
10.42,3.23,-0.38,0.17,-0.19,1.08,467.03,503.78
11.07,2.94,-1.04,0.05,-0.19,0.57,441.28,539.74
10.01,2.87,-0.59,0.07,0.13,0.2,333.49,375.52
10.37,2.96,-0.91,-0.0,0.03,0.15,253.21,316.5
9.96,2.59,-0.55,-0.09,0.06,0.03,313.76,483.83
9.73,2.77,-0.82,-0.06,0.04,0.05,154.47,177.58
9.71,2.67,-0.6,-0.12,0.13,0.03,178.69,240.37
9.96,2.7,-0.74,-0.1,0.04,0.03,548.26,888.78
10.66,2.65,-0.86,-0.16,0.01,-0.23,540.16,806.69
12.03,3.02,-1.14,-0.31,-0.05,-0.86,469.91,614.62
10.34,3.81,-1.08,-0.63,-0.1,-1.6,792.7,1119.91
9.95,5.37,-0.9,-1.06,-0.17,-2.28,901.77,1169.11
6.5,6.41,-0.37,-1.32,-0.61,-2.66,1095.13,1354.81
3.82,7.36,0.69,-1.55,-0.8,-2.65,1264.21,1518.02
1.22,7.35,2.18,-1.26,-0.47,-2.11,1211.19,1447.11
