ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
9.55,0.4,1.25,-0.04,0.58,-0.05,463.01,530.68,0,8,1
10.67,0.52,0.47,-0.04,0.16,-0.01,483.0,569.39,0,8,1
10.15,0.42,1.06,-0.12,0.02,0.01,453.66,518.4,0,8,1
10.28,0.28,0.76,-0.09,0.13,-0.03,491.01,544.23,0,8,1
9.8,0.5,1.13,-0.06,0.14,0.01,471.95,543.02,0,8,1
10.02,0.58,0.95,-0.08,0.09,-0.01,420.11,479.27,0,8,1
10.32,0.46,1.04,-0.12,0.01,-0.03,547.7,622.74,0,8,1
10.62,0.32,1.64,-0.05,-0.15,-0.19,586.46,691.2,0,8,1
12.7,1.09,-0.12,0.0,-0.45,-0.88,852.81,1109.65,0,8,1
11.6,2.24,-0.45,-0.28,-0.18,-1.57,625.64,756.22,0,8,1
9.34,3.46,0.66,-0.61,-0.14,-2.08,691.64,904.3,0,8,1
9.39,5.57,0.67,-0.94,-1.04,-2.47,590.44,792.56,0,8,1
8.71,5.63,0.98,-1.26,-0.85,-3.28,1033.69,1357.08,0,8,1
1.36,5.48,1.24,-0.93,-0.3,-2.95,1088.38,1359.14,0,8,1
0.43,7.17,0.98,-1.26,-0.44,-2.27,1144.9,1401.82,1,8,1
-4.69,8.16,5.2,0.36,0.81,0.52,743.59,898.91,0,9,1
-2.18,8.24,3.13,1.12,1.73,1.66,690.87,761.7,0,9,1
-0.94,8.2,1.77,1.01,2.02,2.63,509.69,580.77,0,9,1
3.98,7.04,1.2,0.67,0.05,3.08,398.61,576.79,0,9,1
6.21,6.84,0.6,0.38,0.97,2.92,441.86,581.74,0,9,1
10.49,4.49,0.56,-0.05,-0.3,2.58,592.36,792.5,0,9,1
11.22,2.82,0.98,-0.19,0.13,1.76,803.41,1020.93,0,9,1
11.88,1.52,0.33,-0.04,-0.48,1.25,775.55,954.82,0,9,1
10.6,0.99,0.13,0.16,-0.17,1.07,463.47,551.13,0,9,1
12.6,0.52,-0.9,-0.06,0.42,0.37,1444.25,1750.36,1,9,1
9.49,0.62,0.78,-0.17,0.24,-0.1,1521.2,1751.69,1,9,1
10.13,0.57,0.59,-0.01,0.03,0.09,1058.15,1214.55,0,10,1
10.14,0.66,0.18,-0.08,0.06,-0.01,1068.59,1276.93,0,10,1
9.87,0.43,0.45,-0.12,0.01,0.02,1310.97,1504.12,1,10,1
10.24,0.6,0.33,-0.08,0.02,0.01,1193.14,1370.14,0,11,1
10.32,0.58,0.63,-0.05,0.03,-0.02,1063.83,1232.9,0,11,1
10.65,0.66,0.4,-0.08,0.06,-0.22,1240.29,1436.32,1,11,1
9.88,1.03,0.38,-0.1,-0.03,-0.22,1262.4,1446.35,1,11,1
12.29,1.24,-0.14,-0.19,0.04,-0.65,1281.08,1458.61,1,11,1
11.26,1.54,0.5,-0.3,0.69,-1.6,1072.38,1226.38,0,12,1
9.52,3.34,0.67,-0.39,0.11,-1.79,949.27,1136.71,0,12,1
10.87,4.49,-0.21,-0.68,-0.23,-2.24,914.09,1048.6,0,12,1
8.64,5.68,0.55,-1.06,-0.17,-3.11,1042.87,1280.01,0,12,1
0.73,5.26,2.22,-1.35,-0.73,-3.2,921.73,1130.75,0,12,1
-1.65,6.42,3.67,-1.28,-0.34,-2.41,841.81,1041.02,0,12,1
-0.98,7.27,4.53,-0.95,-0.29,-1.49,909.22,1185.81,0,12,1
-3.43,7.18,6.39,-0.59,-0.05,-1.02,1209.55,1481.45,1,12,1
-0.97,7.65,4.28,1.37,1.23,2.08,816.22,895.7,0,13,1
-0.01,7.22,2.04,1.28,1.06,2.84,525.41,595.07,0,13,1
4.52,7.24,-0.96,0.91,0.76,3.01,548.19,736.09,0,13,1
7.4,5.15,-0.5,0.31,0.54,2.97,1012.6,1380.79,0,13,1
9.24,3.54,0.48,0.1,0.35,2.54,1248.86,1549.31,1,13,1
10.97,2.97,0.2,0.2,0.34,1.97,1084.36,1300.21,0,14,1
11.0,1.86,0.17,0.03,0.14,1.3,833.41,961.26,0,14,1
11.99,0.8,0.34,-0.09,0.14,0.87,782.05,833.2,0,14,1
11.21,0.49,0.63,-0.11,0.25,0.12,617.31,663.61,0,14,1
9.9,0.63,0.86,-0.08,0.04,0.15,372.67,427.62,0,14,1
10.25,0.48,0.62,-0.16,0.03,0.26,314.84,356.22,0,14,1
9.77,-0.24,0.8,-0.09,0.07,0.17,0.0,0.0,0,14,1
9.71,-0.07,0.64,-0.05,0.0,0.17,0.0,0.0,0,14,1
10.18,-0.53,0.99,-0.09,-0.06,0.14,0.0,0.0,0,14,1
10.08,-0.21,0.81,-0.01,-0.03,0.11,0.0,0.0,0,14,1
9.95,-0.34,0.84,-0.01,-0.1,0.23,0.0,0.0,0,14,1
10.03,-0.85,0.52,-0.06,-0.12,0.22,0.0,0.0,0,14,1
10.08,-1.05,0.26,0.01,-0.09,0.15,0.0,0.0,0,14,1
10.28,-0.84,0.21,-0.05,-0.0,0.07,0.0,0.0,0,14,1
10.13,-1.02,0.43,-0.1,0.01,0.01,0.0,0.0,0,14,1
9.98,-0.68,-0.18,-0.05,-0.09,-0.01,0.0,340.91,0,14,1
11.88,-1.01,0.38,-0.06,-0.45,-0.55,410.57,541.28,0,14,1
12.76,-0.25,-1.48,-0.16,-0.28,-1.84,528.67,715.39,0,14,1
12.18,1.77,-2.35,-0.61,-0.33,-2.55,700.93,1080.04,0,14,1
10.37,3.28,-2.03,-1.41,-0.48,-3.47,829.51,1109.1,0,14,1
3.95,2.66,0.23,-1.67,-0.53,-3.56,781.23,942.63,0,14,1
3.55,7.67,0.12,-1.28,-0.24,-2.73,917.34,1221.44,0,14,1
0.66,7.72,2.64,-1.06,-0.14,-2.45,1050.45,1391.57,0,14,1
-4.48,7.84,3.32,-0.6,-0.71,-1.24,1262.03,1543.17,1,14,1
-1.93,8.23,3.1,0.76,0.8,1.95,866.17,914.59,0,15,1
-0.24,8.11,1.58,1.11,0.34,2.66,587.29,633.45,0,15,1
1.81,6.56,0.08,1.01,0.23,3.38,472.54,607.05,0,15,1
6.31,5.07,-0.96,0.61,0.67,3.68,339.29,414.78,0,15,1
12.23,1.34,-1.13,0.22,0.36,2.87,466.35,787.55,0,15,1
10.92,-0.09,-0.29,0.4,0.04,1.94,322.33,366.88,0,15,1
10.43,-0.09,-1.95,0.28,-0.07,1.48,326.35,402.02,0,15,1
11.24,-1.6,-0.92,0.07,0.15,1.33,462.16,599.32,0,15,1
13.43,-2.45,-1.2,0.14,0.45,0.56,392.82,526.44,0,15,1
10.69,-2.01,-0.75,-0.19,0.14,0.03,0.0,320.85,0,15,1
10.26,-2.67,0.1,-0.05,0.03,-0.0,305.87,391.47,0,15,1
9.76,-2.28,-0.62,-0.09,0.1,-0.15,0.0,0.0,0,15,1
10.01,-2.0,-0.54,-0.2,0.15,-0.18,0.0,0.0,0,15,1
10.03,-1.48,-0.38,-0.11,0.2,-0.1,0.0,0.0,0,15,1
10.26,-1.43,-0.37,-0.03,0.06,0.03,0.0,0.0,0,15,1
10.01,-1.84,-0.15,-0.1,0.08,0.05,0.0,0.0,0,15,1
10.09,-1.78,-0.04,-0.1,0.05,0.01,0.0,303.09,0,15,1
10.05,-1.66,-0.2,-0.07,0.09,0.0,0.0,0.0,0,15,1
9.95,-1.43,-0.07,-0.07,0.07,-0.02,0.0,0.0,0,15,1
11.29,-1.89,-0.18,-0.06,-0.18,-0.26,388.12,578.69,0,15,1
14.85,-1.02,-1.31,-0.18,-0.12,-1.09,467.83,738.24,0,15,1
12.44,0.72,-1.58,-0.3,-0.3,-2.1,340.98,452.28,0,15,1
